"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"Jan",66134.4657534247,65802.6911835616,65472.5810161241,65144.1269013599,64817.3205314047,64492.1536400722,64168.6180026445,63846.7054356645,63526.407796729,63207.716984282,62890.6249374109,62575.1236356415,62531.0603194148,62487.0280311065,62443.026748868,62399.0564508656,62355.1171152815,62311.2087203128,62267.3312441723,62223.4846650878,62179.6689613028,62135.8841110759,62092.1300926811,62048.4068844075,62004.7144645597,61961.0528114576,61917.4219034362,61873.8217188458,61830.2522360522,61786.7134334359,61743.2052893932,61699.7277823353,61656.2808906886,61612.8645928947,61569.4788674106,61526.1236927081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feb",NA,59734.3561643836,59434.6888109589,59136.5247887573,58839.856556067,58544.6766090107,58250.9774813555,57958.7517443241,57667.9920064067,57378.6909131745,57090.8411470935,56804.4354273389,56519.4665096117,56479.6673852779,56439.8962861607,56400.1531925259,56360.4380846528,56320.7509428349,56281.0917473793,56241.4604786072,56201.8571168535,56162.2816424671,56122.7340358105,56083.2142772603,56043.7223472067,56004.2582260539,55964.8218942197,55925.4133321359,55886.0325202478,55846.6794390148,55807.3540689099,55768.0563904197,55728.7863840448,55689.5440302993,55650.3293097113,55611.1422028224,55571.9826901879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mar",NA,NA,66134.4657534247,65802.6911835616,65472.5810161241,65144.1269013599,64817.3205314047,64492.1536400722,64168.6180026445,63846.7054356645,63526.407796729,63207.716984282,62890.6249374109,62575.1236356415,62531.0603194148,62487.0280311065,62443.026748868,62399.0564508656,62355.1171152815,62311.2087203128,62267.3312441723,62223.4846650878,62179.6689613028,62135.8841110759,62092.1300926811,62048.4068844075,62004.7144645597,61961.0528114576,61917.4219034362,61873.8217188458,61830.2522360522,61786.7134334359,61743.2052893932,61699.7277823353,61656.2808906886,61612.8645928947,61569.4788674106,61526.1236927081,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apr",NA,NA,NA,64001.095890411,63680.0237260274,63360.5622736685,63042.7034529289,62726.4392239401,62411.7615871666,62098.6625832043,61787.1342925786,61477.1688355442,61168.7583718858,60861.8951007202,60556.5712602983,60513.9293413691,60471.3174494579,60428.7355634206,60386.183662128,60343.661724466,60301.169729335,60258.7076556506,60216.2754823431,60173.8731883576,60131.5007526541,60089.1581542075,60046.8453720072,60004.5623850578,59962.3091723783,59920.0857130027,59877.8919859798,59835.727970373,59793.5936452606,59751.4889897354,59709.4139829051,59667.3686038921,59625.3528318336,59583.3666458812,59541.4100252014,NA,NA,NA,NA,NA,NA,NA,NA
"May",NA,NA,NA,NA,66134.4657534247,65802.6911835616,65472.5810161241,65144.1269013599,64817.3205314047,64492.1536400722,64168.6180026445,63846.7054356645,63526.407796729,63207.716984282,62890.6249374109,62575.1236356415,62531.0603194148,62487.0280311065,62443.026748868,62399.0564508656,62355.1171152815,62311.2087203128,62267.3312441723,62223.4846650878,62179.6689613028,62135.8841110759,62092.1300926811,62048.4068844075,62004.7144645597,61961.0528114576,61917.4219034362,61873.8217188458,61830.2522360522,61786.7134334359,61743.2052893932,61699.7277823353,61656.2808906886,61612.8645928947,61569.4788674106,61526.1236927081,NA,NA,NA,NA,NA,NA,NA
"Jun",NA,NA,NA,NA,NA,64001.095890411,63680.0237260274,63360.5622736685,63042.7034529289,62726.4392239401,62411.7615871666,62098.6625832043,61787.1342925786,61477.1688355442,61168.7583718858,60861.8951007202,60556.5712602983,60513.9293413691,60471.3174494579,60428.7355634206,60386.183662128,60343.661724466,60301.169729335,60258.7076556506,60216.2754823431,60173.8731883576,60131.5007526541,60089.1581542075,60046.8453720072,60004.5623850578,59962.3091723783,59920.0857130027,59877.8919859798,59835.727970373,59793.5936452606,59751.4889897354,59709.4139829051,59667.3686038921,59625.3528318336,59583.3666458812,59541.4100252014,NA,NA,NA,NA,NA,NA
"Jul",NA,NA,NA,NA,NA,NA,66134.4657534247,65802.6911835616,65472.5810161241,65144.1269013599,64817.3205314047,64492.1536400722,64168.6180026445,63846.7054356645,63526.407796729,63207.716984282,62890.6249374109,62575.1236356415,62531.0603194148,62487.0280311065,62443.026748868,62399.0564508656,62355.1171152815,62311.2087203128,62267.3312441723,62223.4846650878,62179.6689613028,62135.8841110759,62092.1300926811,62048.4068844075,62004.7144645597,61961.0528114576,61917.4219034362,61873.8217188458,61830.2522360522,61786.7134334359,61743.2052893932,61699.7277823353,61656.2808906886,61612.8645928947,61569.4788674106,61526.1236927081,NA,NA,NA,NA,NA
"Aug",NA,NA,NA,NA,NA,NA,NA,66134.4657534247,65802.6911835616,65472.5810161241,65144.1269013599,64817.3205314047,64492.1536400722,64168.6180026445,63846.7054356645,63526.407796729,63207.716984282,62890.6249374109,62575.1236356415,62531.0603194148,62487.0280311065,62443.026748868,62399.0564508656,62355.1171152815,62311.2087203128,62267.3312441723,62223.4846650878,62179.6689613028,62135.8841110759,62092.1300926811,62048.4068844075,62004.7144645597,61961.0528114576,61917.4219034362,61873.8217188458,61830.2522360522,61786.7134334359,61743.2052893932,61699.7277823353,61656.2808906886,61612.8645928947,61569.4788674106,61526.1236927081,NA,NA,NA,NA
"Sep",NA,NA,NA,NA,NA,NA,NA,NA,64001.095890411,63680.0237260274,63360.5622736685,63042.7034529289,62726.4392239401,62411.7615871666,62098.6625832043,61787.1342925786,61477.1688355442,61168.7583718858,60861.8951007202,60556.5712602983,60513.9293413691,60471.3174494579,60428.7355634206,60386.183662128,60343.661724466,60301.169729335,60258.7076556506,60216.2754823431,60173.8731883576,60131.5007526541,60089.1581542075,60046.8453720072,60004.5623850578,59962.3091723783,59920.0857130027,59877.8919859798,59835.727970373,59793.5936452606,59751.4889897354,59709.4139829051,59667.3686038921,59625.3528318336,59583.3666458812,59541.4100252014,NA,NA,NA
"Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,66134.4657534247,65802.6911835616,65472.5810161241,65144.1269013599,64817.3205314047,64492.1536400722,64168.6180026445,63846.7054356645,63526.407796729,63207.716984282,62890.6249374109,62575.1236356415,62531.0603194148,62487.0280311065,62443.026748868,62399.0564508656,62355.1171152815,62311.2087203128,62267.3312441723,62223.4846650878,62179.6689613028,62135.8841110759,62092.1300926811,62048.4068844075,62004.7144645597,61961.0528114576,61917.4219034362,61873.8217188458,61830.2522360522,61786.7134334359,61743.2052893932,61699.7277823353,61656.2808906886,61612.8645928947,61569.4788674106,61526.1236927081,NA,NA
